timestamp,direction,port,arb_id,arb_dev_type,arb_mfr,api_class,api_index,device_id,payload_hex,description
2026-03-08T19:52:29.155648,RX,COM7,0x0205b869,0x2,0x05,0x2e,0x1,41,00 00 00 20 00 41 00 00,"Status frame 1 (new)"
2026-03-08T19:52:29.159301,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 91 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.178584,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 96 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.197891,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 97 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.218799,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 92 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.238815,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 96 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.258138,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 97 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.278173,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 94 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.298137,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 95 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.318136,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 97 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.338143,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 96 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.358567,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 94 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.378569,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 97 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.398605,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 95 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.401603,RX,COM7,0x0205b869,0x2,0x05,0x2e,0x1,41,00 00 00 20 00 41 00 00,"Status frame 1 (new)"
2026-03-08T19:52:29.417598,RX,COM7,0x0205bc29,0x2,0x05,0x2f,0x0,41,42 5d 11 b8 00 00 00 00,"DATA apiClass=0x2f apiIndex=0x0"
2026-03-08T19:52:29.418601,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 95 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.438570,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 94 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.458108,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 93 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.478099,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 97 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.498099,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 92 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.518101,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 96 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.538146,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 96 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.558654,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 94 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.578651,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 97 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.598621,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 95 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.618659,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 97 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.638704,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 97 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.651176,RX,COM7,0x0205b869,0x2,0x05,0x2e,0x1,41,00 00 00 20 00 41 00 00,"Status frame 1 (new)"
2026-03-08T19:52:29.658223,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 96 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.678222,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 91 06 00 19 80 00,"Status frame 0 (new)"
